COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
partPop0_14;Part des 0-14 ans dans la population;;;NUM;8
partPop15_24;Part des 15-24 ans dans la population;;;NUM;8
partPop25_59;Part des 25-59 ans dans la population;;;NUM;8
partPop60_74;Part des 60-74 ans dans la population;;;NUM;8
partPop75p;Part des 75 ans et plus dans la population;;;NUM;8
indiceJeunesse;Indice de jeunesse;;;NUM;8
partPopF;Part des femmes dans la population;;;NUM;8
partPop0_14F;Part des 0-14 ans dans la population des femmes;;;NUM;8
partPop15_24F;Part des 15-24 ans dans la population des femmes;;;NUM;8
partPop25_59F;Part des 25-59 ans dans la population des femmes;;;NUM;8
partPop60_74F;Part des 60-74 ans dans la population des femmes;;;NUM;8
partPop75pF;Part des 75 ans et plus dans la population des femmes;;;NUM;8
indiceJeunesseF;Indice de jeunesse des femmes;;;NUM;8
indiceJeunesseH;Indice de jeunesse des hommes;;;NUM;8
partPopEt;Part des étrangers dans la population;;;NUM;8
partPop0_14Et;Part des 0-14 ans dans la population des étrangers;;;NUM;8
partPop15_24Et;Part des 15-24 ans dans la population des étrangers;;;NUM;8
partPop25_59Et;Part des 25-59 ans dans la population des étrangers;;;NUM;8
partPop60_74Et;Part des 60-74 ans dans la population des étrangers;;;NUM;8
partPop75pEt;Part des 75 ans et plus dans la population des étrangers;;;NUM;8
indiceJeunesseEt;Indice de jeunesse des étrangers;;;NUM;8
partPopEtF;Part des étrangères parmi les femmes;;;NUM;8
partPopImmi;Part des immigrés dans la population;;;NUM;8
partPersMajFr;Part des personnes majeures de nationalité française;;;NUM;8
txEmp;Taux d'emploi;;;NUM;8
txEmpF;Taux d'emploi des femmes;;;NUM;8
txEmpH;Taux d'emploi des hommes;;;NUM;8
txEmpEt;Taux d'emploi des étrangers;;;NUM;8
txEmp15_24;Taux d'emploi des 15-24 ans;;;NUM;8
txEmp25_54;Taux d'emploi des 25-54 ans;;;NUM;8
txEmp55_64;Taux d'emploi des 55-64 ans;;;NUM;8
partEmpPrec;Part des emplois précaires parmi les emplois;;;NUM;8
partEmpPrecF;Part des emplois précaires parmi les emplois chez les femmes;;;NUM;8
partEmpPrecEt;Part des emplois précaires parmi les emplois chez les étrangers;;;NUM;8
txAct15_24;Taux d'activité des 15-24 ans;;;NUM;8
txAct25_54;Taux d'activité des 25-54 ans;;;NUM;8
txAct55_64;Taux d'activité des 55-64 ans;;;NUM;8
txActF;Taux d'activité des femmes;;;NUM;8
txActH;Taux d'activité des hommes;;;NUM;8
partArtCadr;Part d'actifs artisans, commerçants, chefs d'entreprise, cadres et professions intellectuelles supérieures;;;NUM;8
partPI;Part d'actifs dans des professions intermédiaires;;;NUM;8
partEmpl;Part d'actifs employés;;;NUM;8
partOuvr;Part d'actifs ouvriers;;;NUM;8
partTpsPart;Part de la population occupant un emploi à temps partiel;;;NUM;8
txChom;Taux de chômage (au sens du recensement);;;NUM;8
part16_25nonScolNonEmp;Part des 16-25 ans non scolarisés et sans emploi;;;NUM;8
partVoit;Part de la population utilisant le plus souvent la voiture/camion/fourgonnette pour aller travailler;;;NUM;8
partTEC;Part de la population utilisant le plus souvent les transports en commun pour aller travailler;;;NUM;8
partMenVoit;Part de ménages disposant d'une voiture (ou plus);;;NUM;8
partPopBepCap;Part de la population avec un diplôme de niveau inférieur au BAC;;;NUM;8
partPopBac;Part de la population avec un diplôme de niveau BAC;;;NUM;8
partPopBacSup;Part de la population avec un diplôme de niveau BAC+2 ou supérieur;;;NUM;8
partPopBepCapF;Part de femmes avec un diplôme de niveau inférieur au BAC;;;NUM;8
partPopBacF;Part de la population avec un diplôme de niveau BAC parmi les femmes;;;NUM;8
partPopBacSupF;Part de la population avec un diplôme de niveau BAC+2 ou supérieur parmi les femmes;;;NUM;8
partPopBepCapEt;Part d'étrangers avec un diplôme de niveau inférieur au BAC;;;NUM;8
partPopBacEt;Part de la population avec un diplôme de niveau BAC parmi les étrangers;;;NUM;8
